,pais_origem,pais_visitado,dist_origem,dist_paisvist,k6_returner,k6_explorer,k6_root_cat,k6_sub_cat,k10_returner,k10_explorer,k10_root_cat,k10_sub_cat,all_sub_cat,all_root_cat
23372475_FROM_BR_IN_US,BR,US,3.1832560006,2.3803490621,1,0,"Outdoors & Recreation,Travel & Transport,Travel & Transport,Travel & Transport,Food,Shop & Service","City,Road,Airport,Airport,Fast Food Restaurant,Mall",1,0,"Outdoors & Recreation,Travel & Transport,Travel & Transport,Travel & Transport,Food,Shop & Service,Food,Nightlife Spot,Food,Outdoors & Recreation","City,Road,Airport,Airport,Fast Food Restaurant,Mall,Pizza Place,Bar,BBQ Joint,City","City,Road,Airport,Fast Food Restaurant,Mall,Pizza Place,Bar,BBQ Joint,Restaurant,Movie Theater,General Entertainment","Outdoors & Recreation,Travel & Transport,Food,Shop & Service,Nightlife Spot,Arts & Entertainment"
4624924_FROM_MY_IN_ID,MY,ID,2.777005688,1.9567415314,1,0,"Outdoors & Recreation,Travel & Transport,Outdoors & Recreation,Arts & Entertainment,Professional & Other Places,Travel & Transport","Neighborhood,Airport,Park,Theme Park,Hospital,Boat or Ferry",1,0,"Outdoors & Recreation,Travel & Transport,Outdoors & Recreation,Arts & Entertainment,Professional & Other Places,Travel & Transport,Shop & Service,Outdoors & Recreation,Outdoors & Recreation,Residence","Neighborhood,Airport,Park,Theme Park,Hospital,Boat or Ferry,Mall,City,City,Home (private)","Neighborhood,Airport,Park,Theme Park,Hospital,Boat or Ferry,Mall,City,Home (private),Ramen / Noodle House,Resort,Middle Eastern Restaurant,Malaysian Restaurant","Outdoors & Recreation,Travel & Transport,Arts & Entertainment,Professional & Other Places,Shop & Service,Residence,Food"
1323940_FROM_US_IN_TR,US,TR,2.1969338776,1.8061046554,1,0,"Residence,Residence,Outdoors & Recreation,Food,Travel & Transport,Professional & Other Places","Home (private),Home (private),Gym,Café,Airport,Office",1,0,"Residence,Residence,Outdoors & Recreation,Food,Travel & Transport,Professional & Other Places,Arts & Entertainment,Outdoors & Recreation,Shop & Service,Travel & Transport","Home (private),Home (private),Gym,Café,Airport,Office,Art Gallery,Gym,Salon / Barbershop,Airport","Home (private),Gym,Café,Airport,Office,Art Gallery,Salon / Barbershop,Coffee Shop,Gay Bar,Coworking Space,American Restaurant,Surf Spot,Cocktail Bar,Cafeteria,Tattoo Parlor,New American Restaurant,Music Venue,Asian Restaurant,Beach,Building,Japanese Restaurant,Dessert Shop,Latin American Restaurant,Frozen Yogurt,Antique Shop,Pool,Pub,Restaurant,Market,Falafel Restaurant,Wine Bar,Breakfast Spot,Plaza,Nightclub,Vegetarian / Vegan Restaurant,Bar,Diner,Park,Taco Place,Supermarket,Ramen / Noodle House,Light Rail,Ice Cream Shop,Bakery,Italian Restaurant,Comfort Food Restaurant,Sushi Restaurant","Residence,Outdoors & Recreation,Food,Travel & Transport,Professional & Other Places,Arts & Entertainment,Shop & Service,Nightlife Spot"
23829771_FROM_ID_IN_MY,ID,MY,2.0485314261,1.952008741,1,0,"Shop & Service,Professional & Other Places,Travel & Transport,Outdoors & Recreation,Professional & Other Places,Outdoors & Recreation","Gas Station / Garage,Mosque,Bus Station,Other Great Outdoors,Mosque,Soccer Field",1,0,"Shop & Service,Professional & Other Places,Travel & Transport,Outdoors & Recreation,Professional & Other Places,Outdoors & Recreation,Food,Food,Outdoors & Recreation,Shop & Service","Gas Station / Garage,Mosque,Bus Station,Other Great Outdoors,Mosque,Soccer Field,Steakhouse,Coffee Shop,Mountain,Mall","Gas Station / Garage,Mosque,Bus Station,Other Great Outdoors,Soccer Field,Steakhouse,Coffee Shop,Mountain,Mall","Shop & Service,Professional & Other Places,Travel & Transport,Outdoors & Recreation,Food"
5569647_FROM_MX_IN_US,MX,US,1.6489134665,1.9404529042,1,0,"Professional & Other Places,Professional & Other Places,Food,Professional & Other Places,Travel & Transport,Professional & Other Places","Government Building,Parking,Coffee Shop,Office,Airport,Government Building",1,0,"Professional & Other Places,Professional & Other Places,Food,Professional & Other Places,Travel & Transport,Professional & Other Places,Professional & Other Places,Professional & Other Places,Food,Outdoors & Recreation","Government Building,Parking,Coffee Shop,Office,Airport,Government Building,Medical Center,Medical Center,Wings Joint,Park","Government Building,Parking,Coffee Shop,Office,Airport,Medical Center,Wings Joint,Park,Mexican Restaurant,Diner,Cupcake Shop,Playground,Ice Cream Shop,Comfort Food Restaurant,Hardware Store,Paella Restaurant,Buffet,Salon / Barbershop,Restaurant,Bank,Mall,Breakfast Spot,Hotel,Multiplex,Supermarket,Theater,Museum,American Restaurant,Hospital","Professional & Other Places,Food,Travel & Transport,Outdoors & Recreation,Shop & Service,Arts & Entertainment"
63961449_FROM_TR_IN_GB,TR,GB,1.9278075893,2.2846564821,0,1,"Professional & Other Places,Outdoors & Recreation,Outdoors & Recreation,Shop & Service,Professional & Other Places,Professional & Other Places","Coworking Space,Bridge,Bridge,Mall,Courthouse,Tech Startup",0,1,"Professional & Other Places,Outdoors & Recreation,Outdoors & Recreation,Shop & Service,Professional & Other Places,Professional & Other Places,Travel & Transport,Professional & Other Places,Residence,Professional & Other Places","Coworking Space,Bridge,Bridge,Mall,Courthouse,Tech Startup,General Travel,Building,Housing Development,Building","Coworking Space,Bridge,Mall,Courthouse,Tech Startup,General Travel,Building,Housing Development,Winery,General Entertainment,Other Great Outdoors,Park,Gym,Factory,Office,Beach,Garden,Automotive Shop,Restaurant,Airport Gate,Café,Dessert Shop,Government Building,Campground,Airport Terminal,Road,Rest Area,Neighborhood,Hotel,Light Rail,Museum,Hardware Store,City,Toll Plaza,University,Eastern European Restaurant,Residential Building (Apartment / Condo),Bank,Fire Station,Lake","Professional & Other Places,Outdoors & Recreation,Shop & Service,Travel & Transport,Residence,Arts & Entertainment,Food,College & University"
51687564_FROM_GB_IN_JP,GB,JP,1.5426431735,1.6863591795,1,0,"Travel & Transport,Professional & Other Places,Outdoors & Recreation,Food,Travel & Transport,Travel & Transport","Airport Terminal,Office,Gym / Fitness Center,Coffee Shop,Airport,Airport Gate",1,0,"Travel & Transport,Professional & Other Places,Outdoors & Recreation,Food,Travel & Transport,Travel & Transport,Food,Travel & Transport,Travel & Transport,Travel & Transport","Airport Terminal,Office,Gym / Fitness Center,Coffee Shop,Airport,Airport Gate,Coffee Shop,Subway,Airport Gate,Airport Gate","Airport Terminal,Office,Gym / Fitness Center,Coffee Shop,Airport,Airport Gate,Subway","Travel & Transport,Professional & Other Places,Outdoors & Recreation,Food"
1447855_FROM_JP_IN_US,JP,US,0.4202097728,1.7944099413,0,1,"Travel & Transport,Travel & Transport,Travel & Transport,Arts & Entertainment,Shop & Service,Travel & Transport","Airport Terminal,Airport,Airport Terminal,Art Museum,Mall,Airport Terminal",1,0,"Travel & Transport,Travel & Transport,Travel & Transport,Arts & Entertainment,Shop & Service,Travel & Transport,Travel & Transport,Travel & Transport,Food,Travel & Transport","Airport Terminal,Airport,Airport Terminal,Art Museum,Mall,Airport Terminal,Resort,Hotel,Italian Restaurant,Airport","Airport Terminal,Airport,Art Museum,Mall,Resort,Hotel,Italian Restaurant","Travel & Transport,Arts & Entertainment,Shop & Service,Food"
72585064_FROM_BR_IN_JP,BR,JP,2.3352087162,2.0899039254,1,0,"Residence,Shop & Service,Shop & Service,Shop & Service,Food,Shop & Service","Residential Building (Apartment / Condo),Miscellaneous Shop,Miscellaneous Shop,Mall,Sandwich Place,Department Store",1,0,"Residence,Shop & Service,Shop & Service,Shop & Service,Food,Shop & Service,Food,Food,Food,Food","Residential Building (Apartment / Condo),Miscellaneous Shop,Miscellaneous Shop,Mall,Sandwich Place,Department Store,Ice Cream Shop,Bakery,Pizza Place,Pizza Place","Residential Building (Apartment / Condo),Miscellaneous Shop,Mall,Sandwich Place,Department Store,Ice Cream Shop,Bakery,Pizza Place,Diner,Dive Bar,Plaza,Food Truck,Chinese Restaurant,BBQ Joint,Market,Restaurant,Bar,Beach,Coffee Shop,Lake,General Entertainment,Airport,Brazilian Restaurant,Theater,Art Gallery,Pool,Supermarket,Food,Steakhouse","Residence,Shop & Service,Food,Nightlife Spot,Outdoors & Recreation,Arts & Entertainment,Travel & Transport"
72585064_FROM_BR_IN_US,BR,US,2.3352087162,1.8135165534,1,0,"Residence,Shop & Service,Shop & Service,Shop & Service,Food,Shop & Service","Residential Building (Apartment / Condo),Miscellaneous Shop,Miscellaneous Shop,Mall,Sandwich Place,Department Store",1,0,"Residence,Shop & Service,Shop & Service,Shop & Service,Food,Shop & Service,Food,Food,Food,Food","Residential Building (Apartment / Condo),Miscellaneous Shop,Miscellaneous Shop,Mall,Sandwich Place,Department Store,Ice Cream Shop,Bakery,Pizza Place,Pizza Place","Residential Building (Apartment / Condo),Miscellaneous Shop,Mall,Sandwich Place,Department Store,Ice Cream Shop,Bakery,Pizza Place,Diner,Dive Bar,Plaza,Food Truck,Chinese Restaurant,BBQ Joint,Market,Restaurant,Bar,Beach,Coffee Shop,Lake,General Entertainment,Airport,Brazilian Restaurant,Theater,Art Gallery,Pool,Supermarket,Food,Steakhouse","Residence,Shop & Service,Food,Nightlife Spot,Outdoors & Recreation,Arts & Entertainment,Travel & Transport"
2170906_FROM_MY_IN_TR,MY,TR,2.9420570901,2.5400169453,1,0,"Professional & Other Places,Residence,Food,Food,College & University,Shop & Service","Coworking Space,Housing Development,Middle Eastern Restaurant,Asian Restaurant,College Residence Hall,Auto Garage",1,0,"Professional & Other Places,Residence,Food,Food,College & University,Shop & Service,Outdoors & Recreation,Food,Food,Food","Coworking Space,Housing Development,Middle Eastern Restaurant,Asian Restaurant,College Residence Hall,Auto Garage,Sports Club,Italian Restaurant,Mediterranean Restaurant,Café","Coworking Space,Housing Development,Middle Eastern Restaurant,Asian Restaurant,College Residence Hall,Auto Garage,Sports Club,Italian Restaurant,Mediterranean Restaurant,Café,Home (private),Malaysian Restaurant,Event Space,Road,Hotel,Karaoke Bar,Airport,University,Zoo,Hospital,Grocery Store,Flea Market","Professional & Other Places,Residence,Food,College & University,Shop & Service,Outdoors & Recreation,Travel & Transport,Nightlife Spot,Arts & Entertainment"
9918557_FROM_TR_IN_US,TR,US,1.4750504185,2.1072417623,1,0,"Outdoors & Recreation,Outdoors & Recreation,Nightlife Spot,Shop & Service,Outdoors & Recreation,Food","Other Great Outdoors,County,Bar,Mall,Neighborhood,Restaurant",0,0,"Travel & Transport,Travel & Transport,Arts & Entertainment,Food,Shop & Service,Shop & Service,Food,Food,Professional & Other Places,Food","Airport,Airport,Movie Theater,Japanese Restaurant,Mall,Mall,American Restaurant,Fried Chicken Joint,School,Japanese Restaurant","Other Great Outdoors,County,Bar,Mall,Neighborhood,Restaurant,Garden","Outdoors & Recreation,Nightlife Spot,Shop & Service,Food"
26509976_FROM_BR_IN_US,BR,US,2.5061728589,2.3533249476,1,0,"Outdoors & Recreation,Shop & Service,Travel & Transport,Shop & Service,Food,Shop & Service","Gymnastics Gym,Mall,Airport,Clothing Store,Coffee Shop,Mall",1,0,"Outdoors & Recreation,Shop & Service,Travel & Transport,Shop & Service,Food,Shop & Service,Event,Professional & Other Places,Residence,Food","Gymnastics Gym,Mall,Airport,Clothing Store,Coffee Shop,Mall,Street Fair,Hospital,Residential Building (Apartment / Condo),Fast Food Restaurant","Gymnastics Gym,Mall,Airport,Clothing Store,Coffee Shop,Street Fair,Hospital,Residential Building (Apartment / Condo),Fast Food Restaurant,General College & University,Chinese Restaurant,Bar,Pizza Place,Home (private)","Outdoors & Recreation,Shop & Service,Travel & Transport,Food,Event,Professional & Other Places,Residence,College & University,Nightlife Spot"
